,Model Name,Accuracy,Recall,Precision,F1 Score
0,LogReg,0.5782312925170068,0.5782312925170068,0.6243276925095106,0.5228618488671025
1,NaiveBayes,0.6258503401360545,0.6258503401360545,0.7031098153547134,0.5598102971661091
2,SVM,0.6938775510204082,0.6938775510204082,0.6979311805043301,0.6945286792569764
3,DecisionTree,0.564625850340136,0.564625850340136,0.5620022202429359,0.5040815718764947
4,RandomForest,0.6326530612244898,0.6326530612244898,0.6352445740200842,0.6155365371955234
